ROW_ID,SK_ID_CURR,Cluster,Segment,Detected By,Detector Count,Queue Route,Anomaly Scope,Outlier Type,Sampled Density Corroboration,Review Type,Priority,Primary Driver,Record Evidence,Business Interpretation,Recommended Action,Review Owner,Automatic Decision Allowed,Extreme Trigger Field,Extreme Trigger Standardized Value,Extreme Trigger Business Value,Evidence Value Basis
53175,161584,cluster_3,Larger-Loan Affordability,"Adjusted IQR, Calibrated Z-score, Shrinkage Mahalanobis, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Assessed (not isolated),Data consistency check,Urgent data reconciliation,Extreme average payment-to-due ratio,"Average payment-to-due ratio is 1,272.58x; its prepared detection value is +45.8 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 1,272.58x.","Start with extreme average payment-to-due ratio: Average payment-to-due ratio is 1,272.58x; its prepared detection value is +45.8 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 161584: start with extreme average payment-to-due ratio: average payment-to-due ratio is 1,272.58x; its prepared detection value is +45.8 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average payment-to-due ratio and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_PAYMENT_RATIO_MEAN,45.79997514578849,"1,272.58x",Uses original source values where available and observed history summaries otherwise
78641,191162,cluster_4,Historical Card-Use Intensity,"Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average payment-to-due ratio,"Average payment-to-due ratio is 367.74x; its prepared detection value is +13.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 367.74x.","Start with extreme average payment-to-due ratio: Average payment-to-due ratio is 367.74x; its prepared detection value is +13.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 191162: start with extreme average payment-to-due ratio: average payment-to-due ratio is 367.74x; its prepared detection value is +13.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average payment-to-due ratio and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_PAYMENT_RATIO_MEAN,13.201681342365672,367.74x,Uses original source values where available and observed history summaries otherwise
142964,265761,cluster_1,Repayment-Stress History,"Adjusted IQR, Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme longest instalment delay,"Longest instalment delay is 1,927.00 days; its prepared detection value is +18.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 7.15x.","Start with extreme longest instalment delay: Longest instalment delay is 1,927.00 days; its prepared detection value is +18.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 265761: start with extreme longest instalment delay: longest instalment delay is 1,927.00 days; its prepared detection value is +18.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile longest instalment delay and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_DPD_MAX,18.05666852143869,"1,927.00 days",Uses original source values where available and observed history summaries otherwise
208209,341328,cluster_4,Historical Card-Use Intensity,"Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average payment-to-due ratio,"Average payment-to-due ratio is 406.91x; its prepared detection value is +14.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 406.91x.","Start with extreme average payment-to-due ratio: Average payment-to-due ratio is 406.91x; its prepared detection value is +14.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 341328: start with extreme average payment-to-due ratio: average payment-to-due ratio is 406.91x; its prepared detection value is +14.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average payment-to-due ratio and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_PAYMENT_RATIO_MEAN,14.613072135362057,406.91x,Uses original source values where available and observed history summaries otherwise
211559,345161,cluster_2,History-Rich Credit User,"Adjusted IQR, Calibrated Z-score, Shrinkage Mahalanobis, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme previous refusal count,"Previous refusal count is 54; its prepared detection value is +29.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 6.64x.","Start with extreme previous refusal count: Previous refusal count is 54; its prepared detection value is +29.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 345161: start with extreme previous refusal count: previous refusal count is 54; its prepared detection value is +29.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile previous refusal count and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,PREV_REFUSED_COUNT,29.6313139685198,54,Uses original source values where available and observed history summaries otherwise
231015,367577,cluster_4,Historical Card-Use Intensity,"Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Assessed (not isolated),Data consistency check,Urgent data reconciliation,Extreme average severe-late share in bureau monthly history,"Average severe-late share in bureau monthly history is 36.70%; its prepared detection value is +24.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 6.07x.","Start with extreme average severe-late share in bureau monthly history: Average severe-late share in bureau monthly history is 36.70%; its prepared detection value is +24.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 367577: start with extreme average severe-late share in bureau monthly history: average severe-late share in bureau monthly history is 36.70%; its prepared detection value is +24.6 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average severe-late share in bureau monthly history and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,BUREAU_BB_SEVERE_DPD_MEAN,24.550555555430485,36.70%,Uses original source values where available and observed history summaries otherwise
281907,426540,cluster_2,History-Rich Credit User,"Adjusted IQR, Calibrated Z-score, Shrinkage Mahalanobis, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme previous application count,"Previous application count is 53; its prepared detection value is +11.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 68.42x.","Start with extreme previous application count: Previous application count is 53; its prepared detection value is +11.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 426540: start with extreme previous application count: previous application count is 53; its prepared detection value is +11.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile previous application count and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,PREV_COUNT,11.364192076907605,53,Uses original source values where available and observed history summaries otherwise
315165,156088,cluster_1,Repayment-Stress History,"Adjusted IQR, Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average previous-account card delay,"Average previous-account card delay is 242.27 days; its prepared detection value is +10.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 59.40x.","Start with extreme average previous-account card delay: Average previous-account card delay is 242.27 days; its prepared detection value is +10.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 156088: start with extreme average previous-account card delay: average previous-account card delay is 242.27 days; its prepared detection value is +10.1 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average previous-account card delay and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,CC_SK_DPD_MEAN,10.053714641157258,242.27 days,Uses original source values where available and observed history summaries otherwise
343116,360535,cluster_2,History-Rich Credit User,"Calibrated Z-score, Shrinkage Mahalanobis, Isolation Forest, Local Outlier Factor",4,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average severe-late share in bureau monthly history,"Average severe-late share in bureau monthly history is 34.74%; its prepared detection value is +23.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 38.07x.","Start with extreme average severe-late share in bureau monthly history: Average severe-late share in bureau monthly history is 34.74%; its prepared detection value is +23.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 360535: start with extreme average severe-late share in bureau monthly history: average severe-late share in bureau monthly history is 34.74%; its prepared detection value is +23.2 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average severe-late share in bureau monthly history and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,BUREAU_BB_SEVERE_DPD_MEAN,23.236552006115826,34.74%,Uses original source values where available and observed history summaries otherwise
10616,112370,cluster_3,Larger-Loan Affordability,"Adjusted IQR, Shrinkage Mahalanobis, Local Outlier Factor",3,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average payment-to-due ratio,"Average payment-to-due ratio is 513.37x; its prepared detection value is +18.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 513.37x.","Start with extreme average payment-to-due ratio: Average payment-to-due ratio is 513.37x; its prepared detection value is +18.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 112370: start with extreme average payment-to-due ratio: average payment-to-due ratio is 513.37x; its prepared detection value is +18.4 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average payment-to-due ratio and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_PAYMENT_RATIO_MEAN,18.448445440327447,513.37x,Uses original source values where available and observed history summaries otherwise
21371,124899,cluster_3,Larger-Loan Affordability,"Calibrated Z-score, Shrinkage Mahalanobis, Local Outlier Factor",3,Detector consensus,Detector-consensus pattern,Point (globally extreme single value),Not assessed,Data consistency check,Urgent data reconciliation,Extreme average payment-to-due ratio,"Average payment-to-due ratio is 2,678.83x; its prepared detection value is +96.5 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Mean paid-to-due ratio is 2,678.83x.","Start with extreme average payment-to-due ratio: Average payment-to-due ratio is 2,678.83x; its prepared detection value is +96.5 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Until the source is reconciled, this value could distort the application assessment. The check does not establish payment difficulty. The record also contains a field at least 10 standard deviations from the portfolio mean, although agreement among portfolio-wide detectors remains its queue-entry route.","Applicant 124899: start with extreme average payment-to-due ratio: average payment-to-due ratio is 2,678.83x; its prepared detection value is +96.5 standard deviations from the portfolio mean, so this is the exact field that needs the single-axis source check. Reconcile average payment-to-due ratio and its contributing source fields for sign, units, joins, and aggregation. If confirmed, keep the value as verified evidence and continue the appropriate affordability or repayment review. Check for reversals, early payments, duplicate instalments, and inconsistent currency units. Document the facts confirmed during review. Base any credit action on those facts, not the anomaly or cluster label.",Data Operations and Credit Review,No,INST_PAYMENT_RATIO_MEAN,96.46262932346532,"2,678.83x",Uses original source values where available and observed history summaries otherwise
