trigger,field_or_expression,looser_sensitivity,selected_review_trigger,stricter_sensitivity,looser_application_count,selected_application_count,stricter_application_count,basis,business_rationale,population,usage_boundary,automatic_decision_allowed
Scheduled payment burden,SOURCE_AMT_ANNUITY / SOURCE_AMT_INCOME_TOTAL,>=30%,>=35%,>=50%,36513,19186,2985,Project review heuristic; 50% escalates priority,"Directs a queued record to verified-income, obligation, and lower-income affordability review.","All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Current-loan amount relative to income,SOURCE_AMT_CREDIT / SOURCE_AMT_INCOME_TOTAL,>=5x,>=6x,>=8x,91641,60634,26589,Project review heuristic; product term and existing obligations are unavailable,Highlights scale relative to reported income without treating the ratio as a policy cutoff.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Longest recorded instalment delay,INST_DPD_MAX,>15 days,>30 days,>=90 days,56334,21416,8060,Operational 30+/90+ DPD severity bands; not a legal-default definition,"Routes attention to recency, cure, dispute, and whether an obligation remains open.","All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Severely late instalment share,INST_SEVERE_LATE_RATIO,>=2%,>=5%,>=10%,14316,6046,1961,Project recurrence heuristic over aggregated previous-loan history,Separates an isolated delay from a repeated severe-lateness pattern for manual timeline review.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Any late instalment share,INST_LATE_RATIO,>=10%,>=20%,>=30%,91894,45052,20433,Project recurrence heuristic over aggregated previous-loan history,Prompts a reviewer to examine timing and causes; it does not establish current distress.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Average paid-to-due ratio,INST_PAYMENT_RATIO_MEAN,<95%,<90%,<85%,96378,63469,45466,Project underpayment heuristic; reversals and early payments can affect the aggregate,"Prompts reconciliation of partial payments, reversals, duplicates, and cure status.","All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Historical card utilisation,CC_UTILIZATION_MEAN or CC_UTILIZATION_MAX,mean >=70% or max >=90%,mean >=80% or max >=100%,mean >=90% or max >=110%,53560,44385,9099,Project historical-utilisation heuristic; fields summarize previous Home Credit accounts,Requires checking whether a revolving facility is still open before any current-limit review.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Historical card or POS delay,"max(CC_SK_DPD_MEAN, POS_SK_DPD_MEAN)",>0 days,>0 days,>30 days,78164,78164,4903,Any recorded average delay is surfaced; 30 days is the stricter sensitivity,"Directs the reviewer to the previous-account timeline, cure status, and current facility status.","All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Recorded bureau debt share,BUREAU_DEBT_TO_CREDIT_RATIO,>=60%,>=80%,>=100%,50423,20703,2473,Project external-obligation review heuristic,Prompts direct confirmation of outstanding obligations and ratio construction.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Bureau late-payment history,BUREAU_BB_DPD_RATIO_MEAN or BUREAU_BB_SEVERE_DPD_MEAN,late >=5% or severe >=1%,late >=10% or severe >=2%,late >=20% or severe >=5%,12623,6291,2553,Project recurrence heuristic on aggregated bureau monthly history,"Prompts a source-timeline, dispute, recency, and cure check rather than a causal conclusion.","All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Available external-score mean,mean(observed SOURCE_EXT_SOURCE_1..3),<0.40,<0.30,<0.20,79975,33750,11632,Project heuristic; external-score construction and calibration are opaque,Only prompts source-validity and evidence reconciliation; the mean is never a reason code.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
Repeated previous refusals,PREV_REFUSED_COUNT and PREV_APPROVAL_RATE,>=2 refusals and approval <50%,>=3 refusals and approval <50%,>=4 refusals and approval <50%,37277,26419,18426,Project history-reconciliation heuristic; earlier policy and evidence are unknown,Prompts review of the historical reason and whether it remains relevant now.,"All 356,255 applications","Composes review evidence only after a record enters the anomaly queue; not a queue-entry rule, approval rule, decline rule, or Home Credit policy",No
