rank,pattern_key,rule_str,short_rule,business_rule,Segment,Context,context_n,condition_count,support_count,support,consequent_baseline,confidence,uplift_pp,lift,business_theme,source_families,why_it_matters,review_action,caveat,metric_scope,exposure_variable,exposure_ratio,exposure_adjusted_confidence,exposure_adjusted_lift,exposure_bias_share,headline_lift,exposure_sensitive,exposure_note,kulczynski,imbalance_ratio,cosine,direction_note
1,bureau_debt_low | external_score_strong,{external_score_strong} -> {bureau_debt_low},external_score_strong → bureau_debt_low,"When an application has available external scores in the upper band, it more often also shows bureau debt below 30% of bureau credit",History-Rich Credit User,History-Rich Credit User,51614,13668,8790,0.17030263106908977,0.5301468593792382,0.6431079894644425,11.296113008520425,1.213075166035074,Lower-concern evidence agrees,Bureau history; External scores,"In History-Rich Credit User, 8,790 of about 13,668 applications with available external scores in the upper band also show bureau debt below 30% of bureau credit. That is 64.3%, compared with 53.0% in the same population. The observed lower-concern evidence is internally consistent, but it does not prove a lower chance of payment difficulty.","Verify available external-score inputs and their reporting date. Then Reconcile bureau balances, credit limits, and reporting dates.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator.",Within-segment FP-Growth. Metrics use the segment denominator.,BUREAU_COUNT,0.8519646985358421,0.6583593777229577,1.2418433988156539,0.0,1.2418433988156539,True,The association survives standardisation for history depth.,0.48217234798296127,0.42476970317297846,0.45452160835360295,Moderately one-directional; read the condition as the entry point.
2,card_utilisation_high | external_score_weak,{card_utilisation_high} -> {external_score_weak},card_utilisation_high → external_score_weak,"When an application has observed average card utilisation of at least 80%, it more often also shows available external scores in the lower band",Historical Card-Use Intensity,Historical Card-Use Intensity,54544,11938,5618,0.10299941331768847,0.34542754473452625,0.47059809013235043,12.517054539782418,1.3623641116808514,Concern signals converge,Card history; External scores,"In Historical Card-Use Intensity, 5,618 of about 11,938 applications with observed average card utilisation of at least 80% also show available external scores in the lower band. That is 47.1%, compared with 34.5% in the same population. Several concern signals meet in one review.","Verify available external-score inputs and their reporting date. Then Review historical card balances, limits, and payment behaviour.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Within-segment FP-Growth. Metrics use the segment denominator.,none (application-time value),1.0,0.4705980901323505,1.3623641116808516,0.0,1.3623641116808514,False,"Consequent is an application-time value, so history length cannot inflate it.",0.38438879614095894,0.27435316561344936,0.3745967221268781,Moderately one-directional; read the condition as the entry point.
3,previous_refusals_repeated | repayment_some_late,{previous_refusals_repeated} -> {repayment_some_late},previous_refusals_repeated → repayment_some_late,"When an application has at least 3 prior applications refused, it more often also shows observed instalments with some recorded lateness",Portfolio-wide,Portfolio-wide,356255,36868,22151,0.06217737294915159,0.44470674095802165,0.6008191385483346,15.611239759031292,1.3510457189247986,Concern signals converge,Instalment history; Prior applications,"In Portfolio-wide, 22,151 of about 36,868 applications with at least 3 prior applications refused also show observed instalments with some recorded lateness. That is 60.1%, compared with 44.5% in the same population. Several concern signals meet in one review.","Inspect late-payment dates, severity, and whether arrears were cured. Then Review prior home credit decisions and recorded refusal reasons.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Full portfolio. Three algorithms enumerated the same rule.,INST_COUNT,1.589394106109348,0.47363833406377875,1.0650576895763497,0.8146745963015534,1.0650576895763497,True,Most of the raw lift is explained by how much history was observed; the adjusted figure is the honest one.,0.3703178562670789,0.7020722396128123,0.28983525240546887,"Strongly one-directional: the condition is informative about the evidence, but seeing the evidence says little about the condition."
4,bureau_debt_high | external_score_weak,{bureau_debt_high} -> {external_score_weak},bureau_debt_high → external_score_weak,"When an application has bureau debt at least 80% of bureau credit, it more often also shows available external scores in the lower band",Lower-Intensity Credit Footprint,Lower-Intensity Credit Footprint,119127,7713,4313,0.036205058467014196,0.3790744331679636,0.5591857902242966,18.0111357056333,1.4751345416548516,Concern signals converge,Bureau history; External scores,"In Lower-Intensity Credit Footprint, 4,313 of about 7,713 applications with bureau debt at least 80% of bureau credit also show available external scores in the lower band. That is 55.9%, compared with 37.9% in the same population. Several concern signals meet in one review.","Verify available external-score inputs and their reporting date. Then Reconcile bureau balances, credit limits, and reporting dates.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator.",Within-segment FP-Growth. Metrics use the segment denominator.,none (application-time value),1.0,0.5591857902242966,1.4751345416548516,0.0,1.4751345416548516,False,"Consequent is an application-time value, so history length cannot inflate it.",0.32734744580084135,0.7711396680258659,0.23110026466303776,"Strongly one-directional: the condition is informative about the evidence, but seeing the evidence says little about the condition."
5,bureau_debt_moderate | external_score_weak | previous_refusals_repeated,"{bureau_debt_moderate, previous_refusals_repeated} -> {external_score_weak}","bureau_debt_moderate, previous_refusals_repeated → external_score_weak","When an application has bureau debt between 30% and 80% of bureau credit and at least 3 prior applications refused, it more often also shows available external scores in the lower band",History-Rich Credit User,History-Rich Credit User,51614,8701,4524,0.08765063742395474,0.3893711008641067,0.519940236754396,13.056913589028934,1.3353334019924066,Concern signals converge,Bureau history; External scores; Prior applications,"In History-Rich Credit User, 4,524 of about 8,701 applications with bureau debt between 30% and 80% of bureau credit and at least 3 prior applications refused also show available external scores in the lower band. That is 52.0%, compared with 38.9% in the same population. Several concern signals meet in one review.","Verify available external-score inputs and their reporting date. Then Reconcile bureau balances, credit limits, and reporting dates. Then Review prior home credit decisions and recorded refusal reasons.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Within-segment FP-Growth. Metrics use the segment denominator.,none (application-time value),1.0,0.519940236754396,1.3353334019924066,0.0,1.3353334019924066,False,"Consequent is an application-time value, so history length cannot inflate it.",0.3725242309313106,0.4694735107522452,0.34211522014978,Moderately one-directional; read the condition as the entry point.
6,previous_outcome_mixed | repayment_clean_observed,{repayment_clean_observed} -> {previous_outcome_mixed},repayment_clean_observed → previous_outcome_mixed,"When an application has observed instalments with no recorded lateness, it more often also shows a mixed prior-application outcome",Historical Card-Use Intensity,Historical Card-Use Intensity,54544,11227,5523,0.10125770020533881,0.3973489293047814,0.49193907544312815,9.459014613834677,1.2380531043681071,Evidence conflict to reconcile,Instalment history; Prior applications,"In Historical Card-Use Intensity, 5,523 of about 11,227 applications with observed instalments with no recorded lateness also show a mixed prior-application outcome. That is 49.2%, compared with 39.7% in the same population. The evidence points in different directions, so recency and source consistency need checking.","Inspect late-payment dates, severity, and whether arrears were cured. Then Review prior home credit decisions and recorded refusal reasons.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Within-segment FP-Growth. Metrics use the segment denominator.,PREV_COUNT,0.884145871666634,0.5054677176105046,1.2721003640173194,0.0,1.2721003640173194,True,The association survives standardisation for history depth.,0.3733861390227222,0.38156116448113375,0.3540655448930251,Moderately one-directional; read the condition as the entry point.
7,burden_under_20pct | bureau_debt_moderate | external_score_weak,"{burden_under_20pct, external_score_weak} -> {bureau_debt_moderate}","burden_under_20pct, external_score_weak → bureau_debt_moderate","When an application has annuity below 20% of income and available external scores in the lower band, it more often also shows bureau debt between 30% and 80% of bureau credit",History-Rich Credit User,History-Rich Credit User,51614,15251,6823,0.13219281590266208,0.3616266904328283,0.44738049963936793,8.575380920653963,1.2371335177276366,Evidence conflict to reconcile,Bureau history; Current application affordability; External scores,"In History-Rich Credit User, 6,823 of about 15,251 applications with annuity below 20% of income and available external scores in the lower band also show bureau debt between 30% and 80% of bureau credit. That is 44.7%, compared with 36.2% in the same population. The evidence points in different directions, so recency and source consistency need checking.","Recheck documented income, current-loan credit amount, and annuity burden. Then Verify available external-score inputs and their reporting date. Then Reconcile bureau balances, credit limits, and reporting dates.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator.",Within-segment FP-Growth. Metrics use the segment denominator.,BUREAU_COUNT,1.105301897956104,0.43862473256835666,1.2129213472693898,0.10210353513186617,1.2129213472693898,True,The association survives standardisation for history depth.,0.4064654976096652,0.1260104085926254,0.4044009932677987,Balanced: the two states are similarly informative about each other.
8,credit_large | external_score_strong | previous_approval_high,"{credit_large, previous_approval_high} -> {external_score_strong}","credit_large, previous_approval_high → external_score_strong","When an application has current-loan credit amount in the upper portfolio third and at least 75% of prior applications approved, it more often also shows available external scores in the upper band",Historical Card-Use Intensity,Historical Card-Use Intensity,54544,9088,3739,0.06855016133763567,0.311088295687885,0.41142165492957744,10.033335924169245,1.3225237356482127,Lower-concern evidence agrees,Current application affordability; External scores; Prior applications,"In Historical Card-Use Intensity, 3,739 of about 9,088 applications with current-loan credit amount in the upper portfolio third and at least 75% of prior applications approved also show available external scores in the upper band. That is 41.1%, compared with 31.1% in the same population. The observed lower-concern evidence is internally consistent, but it does not prove a lower chance of payment difficulty.","Recheck documented income, current-loan credit amount, and annuity burden. Then Verify available external-score inputs and their reporting date. Then Review prior home credit decisions and recorded refusal reasons.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. Support, confidence, and lift use this segment as the denominator. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Within-segment FP-Growth. Metrics use the segment denominator.,none (application-time value),1.0,0.41142165492957744,1.3225237356482127,0.0,1.3225237356482127,False,"Consequent is an application-time value, so history length cannot inflate it.",0.3158888095487114,0.35309405386028586,0.3010966878787238,Moderately one-directional; read the condition as the entry point.
9,leverage_over_6x | previous_approval_high | repayment_clean_observed,"{leverage_over_6x, repayment_clean_observed} -> {previous_approval_high}","leverage_over_6x, repayment_clean_observed → previous_approval_high","When an application has current-loan credit amount above 6 times income and observed instalments with no recorded lateness, it more often also shows at least 75% of prior applications approved",Portfolio-wide,Portfolio-wide,356255,27332,17598,0.049397201442786774,0.5241863272094427,0.643860676130543,11.96743489211003,1.2283049799452008,Evidence conflict to reconcile,Current application affordability; Instalment history; Prior applications,"In Portfolio-wide, 17,598 of about 27,332 applications with current-loan credit amount above 6 times income and observed instalments with no recorded lateness also show at least 75% of prior applications approved. That is 64.4%, compared with 52.4% in the same population. The evidence points in different directions, so recency and source consistency need checking.","Recheck documented income, current-loan credit amount, and annuity burden. Then Inspect late-payment dates, severity, and whether arrears were cured. Then Review prior home credit decisions and recorded refusal reasons.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Full portfolio. Three algorithms enumerated the same rule.,PREV_COUNT,0.727793530728051,0.5119331279252475,0.9766243439629066,1.0,0.9766243439629066,True,Most of the raw lift is explained by how much history was observed; the adjusted figure is the honest one.,0.3690483177593982,0.8113478353810606,0.24632261067050107,"Strongly one-directional: the condition is informative about the evidence, but seeing the evidence says little about the condition."
10,credit_large | external_score_strong | repayment_clean_observed,"{credit_large, repayment_clean_observed} -> {external_score_strong}","credit_large, repayment_clean_observed → external_score_strong","When an application has current-loan credit amount in the upper portfolio third and observed instalments with no recorded lateness, it more often also shows available external scores in the upper band",Portfolio-wide,Portfolio-wide,356255,50927,21870,0.06138861208965488,0.33316585030385537,0.42943821548490974,9.627236518105436,1.2889622843795414,Lower-concern evidence agrees,Current application affordability; External scores; Instalment history,"In Portfolio-wide, 21,870 of about 50,927 applications with current-loan credit amount in the upper portfolio third and observed instalments with no recorded lateness also show available external scores in the upper band. That is 42.9%, compared with 33.3% in the same population. The observed lower-concern evidence is internally consistent, but it does not prove a lower chance of payment difficulty.","Recheck documented income, current-loan credit amount, and annuity burden. Then Verify available external-score inputs and their reporting date. Then Inspect late-payment dates, severity, and whether arrears were cured.","Exploratory association only. No outcome column is read anywhere in this project, so this is a co-occurrence pattern, not a causal claim and not a lending decision rule. These history tables reflect applicants with a past Home Credit relationship; exposure affects what can be observed.",Full portfolio. Three algorithms enumerated the same rule.,none (application-time value),1.0,0.4294382154849098,1.2889622843795416,0.0,1.2889622843795414,False,"Consequent is an application-time value, so history length cannot inflate it.",0.30684831611370145,0.45864946632464515,0.28129629516573995,Moderately one-directional; read the condition as the entry point.
