rank,short_rule,Segment,Context,support_count,support,confidence,lift,n_algos,metric_scope,review_action
1,previous_one → previous_approval_high,Thin-File / Low-Intensity,Thin-File / Low-Intensity,29251,0.24316258500008314,0.993816464512622,1.6145826506142475,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
2,"card_history_not_observed, previous_one → repayment_clean_observed",Thin-File / Low-Intensity,Thin-File / Low-Intensity,21473,0.1785043310555805,0.7364359695452363,1.3321227710516172,1,Within-segment FP-Growth; metrics use the segment denominator,Treat absence as uncertainty; verify permitted alternative evidence
3,"card_utilisation_moderate, previous_outcome_mixed → previous_deep",Thin-File / Low-Intensity,Thin-File / Low-Intensity,3801,0.03159758591450945,0.7164938737040527,3.2301433138460935,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
4,previous_refusals_repeated → previous_deep,Repayment-Stress History,Repayment-Stress History,769,0.10089215429021255,0.9447174447174448,2.5762563018376974,1,Within-segment FP-Growth; metrics use the segment denominator,Reconcile current obligations and whether historical concerns remain current
5,previous_one → previous_approval_high,Repayment-Stress History,Repayment-Stress History,1220,0.16006297559695618,0.9674861221252974,1.7662704725362914,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
6,"previous_one, repayment_serious_late → card_history_not_observed",Repayment-Stress History,Repayment-Stress History,1112,0.1458934662818158,0.9212924606462303,1.249037910893911,1,Within-segment FP-Growth; metrics use the segment denominator,"Review arrears recency, severity, and cure status"
7,external_score_strong → bureau_debt_low,History-Rich Credit User,History-Rich Credit User,8838,0.17185859292964648,0.6427168933168497,1.210398760600297,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
8,bureau_debt_moderate → external_score_weak,History-Rich Credit User,History-Rich Credit User,8615,0.167522265002139,0.4641952691416563,1.202241433867789,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
9,"credit_small, external_score_weak → previous_refusals_repeated",History-Rich Credit User,History-Rich Credit User,3685,0.07165636059580757,0.5590109223300971,1.2628023585217472,1,Within-segment FP-Growth; metrics use the segment denominator,Reconcile current obligations and whether historical concerns remain current
10,previous_one → previous_approval_high,High-Exposure Applicant,High-Exposure Applicant,27654,0.2259406021487806,0.990259972785218,1.596391994113072,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
11,"card_history_not_observed, previous_one → repayment_clean_observed",High-Exposure Applicant,High-Exposure Applicant,20564,0.16801339924016503,0.7470212147631502,1.3720237332073193,1,Within-segment FP-Growth; metrics use the segment denominator,Treat absence as uncertainty; verify permitted alternative evidence
12,"card_utilisation_moderate, previous_outcome_mixed → previous_deep",High-Exposure Applicant,High-Exposure Applicant,4134,0.033775889537971324,0.7040190735694823,3.194143696835704,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
13,previous_refusals_repeated → previous_deep,Intensive Card User,Intensive Card User,8696,0.1595069518324223,0.9938285714285713,1.5451745631582163,1,Within-segment FP-Growth; metrics use the segment denominator,Reconcile current obligations and whether historical concerns remain current
14,previous_two_to_four → previous_approval_high,Intensive Card User,Intensive Card User,11407,0.20923364760262667,0.6712369071436978,1.5588708712954256,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
15,previous_one → previous_approval_high,Intensive Card User,Intensive Card User,1694,0.031072306394218423,0.9266958424507659,2.1521450027148394,1,Within-segment FP-Growth; metrics use the segment denominator,"Use for segment communication or standard review, not an individual decision"
16,previous_one → previous_approval_high,Portfolio-wide,Portfolio-wide,59822,0.16791904675022104,0.9894803003738132,1.8876499614963416,3,Full portfolio; Apriori/FP-Growth/ECLAT exact agreement,"Use for segment communication or standard review, not an individual decision"
17,previous_refusals_repeated → previous_deep,Portfolio-wide,Portfolio-wide,35923,0.10083507599893334,0.9743680156233049,2.452528154517055,3,Full portfolio; Apriori/FP-Growth/ECLAT exact agreement,Reconcile current obligations and whether historical concerns remain current
18,"previous_one, repayment_clean_observed → card_history_not_observed",Portfolio-wide,Portfolio-wide,42039,0.11800255435011438,0.9776738993930091,1.378335378054573,3,Full portfolio; Apriori/FP-Growth/ECLAT exact agreement,Treat absence as uncertainty; verify permitted alternative evidence
